State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478
andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996
andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458
andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653
andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121
andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908463
andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710338
andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055
andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328
andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573
andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755
andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358
andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068
andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305
andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266
andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.0229511866
andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795366
andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.296541
andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.6585041
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.66941178
andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.2301130476
andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,1008821751.0
andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,3299762230.0
andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,146338470.0
andaman-&-nicobar-islands,2023,1,Financial Services,2515,3556954.0
andaman-&-nicobar-islands,2023,1,Others,3443,3049182.0
andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,1159905474.0
andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,3664415887.0
andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,158455723.0
andaman-&-nicobar-islands,2023,2,Financial Services,2158,4161814.0
andaman-&-nicobar-islands,2023,2,Others,3517,3405338.0
andaman-&-nicobar-islands,2023,3,Merchant payments,1657848,1289780198.0
andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,1111211,3757627272.0
andaman-&-nicobar-islands,2023,3,Recharge & bill payments,323935,157992380.0
andaman-&-nicobar-islands,2023,3,Financial Services,2199,3850023.0
andaman-&-nicobar-islands,2023,3,Others,3183,2346918.0
andaman-&-nicobar-islands,2023,4,Merchant payments,2039888,1653303276.0
andaman-&-nicobar-islands,2023,4,Peer-to-peer payments,1321796,4420459049.0
andaman-&-nicobar-islands,2023,4,Recharge & bill payments,327460,185028400.0
andaman-&-nicobar-islands,2023,4,Financial Services,3276,7836466.0
andaman-&-nicobar-islands,2023,4,Others,3363,2925308.0
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
andhra-pradesh,2021,1,Others,347907,272546457.5502677
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
andhra-pradesh,2021,2,Others,406842,308302224.3856007
