State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358,75027255.27919498
andaman-&-nicobar-islands,2021,1,south andaman district,207092,669604045.1248703
andaman-&-nicobar-islands,2021,1,nicobars district,10302,39075266.9856904
andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200,90233388.79463302
andaman-&-nicobar-islands,2021,2,south andaman district,286907,760893020.5704944
andaman-&-nicobar-islands,2021,2,nicobars district,15307,48020606.74716837
andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592,118254865.82750683
andaman-&-nicobar-islands,2021,3,south andaman district,382418,1116789010.6459613
andaman-&-nicobar-islands,2021,3,nicobars district,20754,74980519.3281361
andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.28732437
andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708.0093334
andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.0269996
andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,161624878.52274162
andaman-&-nicobar-islands,2022,1,south andaman district,705512,1872991195.902684
andaman-&-nicobar-islands,2022,1,nicobars district,29177,94414127.64974089
andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,195693167.78757268
andaman-&-nicobar-islands,2022,2,south andaman district,954875,2357326563.362071
andaman-&-nicobar-islands,2022,2,nicobars district,43769,132900618.93062323
andaman-&-nicobar-islands,2022,3,north and middle andaman district,79574,211581970.34202656
andaman-&-nicobar-islands,2022,3,south andaman district,1455255,2967719400.849909
andaman-&-nicobar-islands,2022,3,nicobars district,49550,131330400.94545083
andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,241431284.3558103
andaman-&-nicobar-islands,2022,4,south andaman district,1835592,3600887266.099448
andaman-&-nicobar-islands,2022,4,nicobars district,58646,142355853.97352526
andaman-&-nicobar-islands,2023,1,north and middle andaman district,152187,392080332.0
andaman-&-nicobar-islands,2023,1,south andaman district,2030078,3867385426.0
andaman-&-nicobar-islands,2023,1,nicobars district,94127,202062829.0
andaman-&-nicobar-islands,2023,2,north and middle andaman district,181149,462414675.0
andaman-&-nicobar-islands,2023,2,south andaman district,2417058,4297737197.0
andaman-&-nicobar-islands,2023,2,nicobars district,109568,230192364.0
andaman-&-nicobar-islands,2023,3,north and middle andaman district,198547,495623030.0
andaman-&-nicobar-islands,2023,3,south andaman district,2771397,4462201588.0
andaman-&-nicobar-islands,2023,3,nicobars district,128432,253772173.0
andaman-&-nicobar-islands,2023,4,north and middle andaman district,230234,540759631.0
andaman-&-nicobar-islands,2023,4,south andaman district,3311962,5417264997.0
andaman-&-nicobar-islands,2023,4,nicobars district,153587,311527871.0
