State,Year,Quarter,District,RegisteredUser
andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833
andaman-&-nicobar-islands,2021,1,south andaman district,48352
andaman-&-nicobar-islands,2021,1,nicobars district,1573
andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493
andaman-&-nicobar-islands,2021,2,south andaman district,51903
andaman-&-nicobar-islands,2021,2,nicobars district,1699
andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263
andaman-&-nicobar-islands,2021,3,south andaman district,55873
andaman-&-nicobar-islands,2021,3,nicobars district,1846
andaman-&-nicobar-islands,2021,4,north and middle andaman district,10002
andaman-&-nicobar-islands,2021,4,south andaman district,59807
andaman-&-nicobar-islands,2021,4,nicobars district,1971
andaman-&-nicobar-islands,2022,1,north and middle andaman district,10720
andaman-&-nicobar-islands,2022,1,south andaman district,63487
andaman-&-nicobar-islands,2022,1,nicobars district,2081
andaman-&-nicobar-islands,2022,2,north and middle andaman district,11379
andaman-&-nicobar-islands,2022,2,south andaman district,66959
andaman-&-nicobar-islands,2022,2,nicobars district,2192
andaman-&-nicobar-islands,2022,3,north and middle andaman district,11897
andaman-&-nicobar-islands,2022,3,south andaman district,70445
andaman-&-nicobar-islands,2022,3,nicobars district,2300
andaman-&-nicobar-islands,2022,4,north and middle andaman district,12361
andaman-&-nicobar-islands,2022,4,south andaman district,73692
andaman-&-nicobar-islands,2022,4,nicobars district,2389
andaman-&-nicobar-islands,2023,1,north and middle andaman district,12941
andaman-&-nicobar-islands,2023,1,south andaman district,77052
andaman-&-nicobar-islands,2023,1,nicobars district,2491
andaman-&-nicobar-islands,2023,2,north and middle andaman district,13600
andaman-&-nicobar-islands,2023,2,south andaman district,80112
andaman-&-nicobar-islands,2023,2,nicobars district,2617
andaman-&-nicobar-islands,2023,3,north and middle andaman district,14216
andaman-&-nicobar-islands,2023,3,south andaman district,83305
andaman-&-nicobar-islands,2023,3,nicobars district,2734
andaman-&-nicobar-islands,2023,4,north and middle andaman district,14813
andaman-&-nicobar-islands,2023,4,south andaman district,86348
andaman-&-nicobar-islands,2023,4,nicobars district,2817
andhra-pradesh,2021,1,east godavari district,1878769
andhra-pradesh,2021,1,srikakulam district,782604
andhra-pradesh,2021,1,visakhapatnam district,2368081
andhra-pradesh,2021,1,prakasam district,1075936
andhra-pradesh,2021,1,anantapur district,1394849
andhra-pradesh,2021,1,kurnool district,1323411
andhra-pradesh,2021,1,guntur district,1843237
andhra-pradesh,2021,1,krishna district,1876458
andhra-pradesh,2021,1,spsr nellore district,1100541
andhra-pradesh,2021,1,vizianagaram district,681621
andhra-pradesh,2021,1,ysr district,1032689
andhra-pradesh,2021,1,west godavari district,1254117
andhra-pradesh,2021,1,chittoor district,1751420
