State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2021,1,744101,55726,190830957.0606181
andaman-&-nicobar-islands,2021,1,744103,47328,158404100.7854989
andaman-&-nicobar-islands,2021,1,744105,35467,111571687.43195169
andaman-&-nicobar-islands,2021,1,744102,23957,80750048.8238959
andaman-&-nicobar-islands,2021,1,744211,10648,34956327.94105429
andaman-&-nicobar-islands,2021,1,744202,10597,28127629.877961583
andaman-&-nicobar-islands,2021,1,744107,8848,19627951.469969153
andaman-&-nicobar-islands,2021,1,744104,8799,27854306.51949638
andaman-&-nicobar-islands,2021,1,744112,7113,21084790.0528014
andaman-&-nicobar-islands,2021,1,744301,5630,22671937.31314759
andaman-&-nicobar-islands,2021,2,744101,73334,227585492.7414593
andaman-&-nicobar-islands,2021,2,744103,66321,174752815.1688521
andaman-&-nicobar-islands,2021,2,744105,52645,134835744.22049245
andaman-&-nicobar-islands,2021,2,744102,34289,100890426.76234055
andaman-&-nicobar-islands,2021,2,744202,16476,40647907.96960775
andaman-&-nicobar-islands,2021,2,744107,14524,24690581.539094776
andaman-&-nicobar-islands,2021,2,744104,11278,28333852.06159348
andaman-&-nicobar-islands,2021,2,744211,10182,20377949.346094526
andaman-&-nicobar-islands,2021,2,744112,9635,21637658.167199604
andaman-&-nicobar-islands,2021,2,744301,8463,27666837.39688266
andaman-&-nicobar-islands,2021,3,744101,116324,388328168.7639693
andaman-&-nicobar-islands,2021,3,744103,84790,246433385.80990067
andaman-&-nicobar-islands,2021,3,744105,67257,185238368.4767078
andaman-&-nicobar-islands,2021,3,744102,43850,131239564.16909727
andaman-&-nicobar-islands,2021,3,744202,19088,48475163.574293144
andaman-&-nicobar-islands,2021,3,744107,16203,37962312.09641009
andaman-&-nicobar-islands,2021,3,744104,14657,35301326.114471875
andaman-&-nicobar-islands,2021,3,744112,11565,28491553.61094001
andaman-&-nicobar-islands,2021,3,744301,11553,43464511.051198
andaman-&-nicobar-islands,2021,3,744211,9655,19497765.257140517
andaman-&-nicobar-islands,2021,4,744101,165719,533026207.9731797
andaman-&-nicobar-islands,2021,4,744103,121613,372243734.27985656
andaman-&-nicobar-islands,2021,4,744105,95028,281223411.7435058
andaman-&-nicobar-islands,2021,4,744102,58258,174623253.47653326
andaman-&-nicobar-islands,2021,4,744211,27938,94222862.10725296
andaman-&-nicobar-islands,2021,4,744104,25662,69245386.0816525
andaman-&-nicobar-islands,2021,4,744202,21913,67790798.04849821
andaman-&-nicobar-islands,2021,4,744107,21397,52036029.9980372
andaman-&-nicobar-islands,2021,4,744112,18915,55448543.43365714
andaman-&-nicobar-islands,2021,4,744301,14553,47792330.70050094
andaman-&-nicobar-islands,2022,1,744101,209941,615978080.6944855
andaman-&-nicobar-islands,2022,1,744103,157230,399715980.1391735
andaman-&-nicobar-islands,2022,1,744105,122716,321850608.7396423
andaman-&-nicobar-islands,2022,1,744102,74883,193336549.94178736
andaman-&-nicobar-islands,2022,1,744104,32471,72915521.83614868
andaman-&-nicobar-islands,2022,1,744211,30272,86955570.58655271
andaman-&-nicobar-islands,2022,1,744107,25379,58776727.62636636
andaman-&-nicobar-islands,2022,1,744202,24022,68519268.77643085
andaman-&-nicobar-islands,2022,1,744112,23471,55469783.6622991
andaman-&-nicobar-islands,2022,1,744301,17630,56879992.28461884
andaman-&-nicobar-islands,2022,2,744101,252722,702122365.3629664
andaman-&-nicobar-islands,2022,2,744103,230746,561168775.5622396
andaman-&-nicobar-islands,2022,2,744105,176252,415796516.6034926
andaman-&-nicobar-islands,2022,2,744102,101551,240451609.192299
andaman-&-nicobar-islands,2022,2,744104,47069,94335358.34017953
andaman-&-nicobar-islands,2022,2,744211,40245,108788594.62847154
andaman-&-nicobar-islands,2022,2,744107,36402,82851064.58195859
andaman-&-nicobar-islands,2022,2,744112,32548,70178309.12885833
andaman-&-nicobar-islands,2022,2,744202,27750,84587978.8405464
andaman-&-nicobar-islands,2022,2,744301,26170,74485462.68044695
andaman-&-nicobar-islands,2022,3,744104,497273,951370315.4090765
andaman-&-nicobar-islands,2022,3,744103,259994,545653686.3062732
andaman-&-nicobar-islands,2022,3,744101,213864,444967255.802143
andaman-&-nicobar-islands,2022,3,744105,208055,438754611.5375265
andaman-&-nicobar-islands,2022,3,744102,114416,239581586.790242
andaman-&-nicobar-islands,2022,3,744107,40466,85492008.49477127
andaman-&-nicobar-islands,2022,3,744112,38350,74030563.48358011
andaman-&-nicobar-islands,2022,3,744211,37918,89671382.06901146
andaman-&-nicobar-islands,2022,3,744202,29918,85509005.84576747
andaman-&-nicobar-islands,2022,3,744301,27668,70002553.35288173
andaman-&-nicobar-islands,2022,4,744104,684366,1309407988.2902
andaman-&-nicobar-islands,2022,4,744103,304600,612929267.1773143
andaman-&-nicobar-islands,2022,4,744105,258097,505662756.1128938
andaman-&-nicobar-islands,2022,4,744101,243494,467192496.17391205
andaman-&-nicobar-islands,2022,4,744102,134923,264371699.73904055
andaman-&-nicobar-islands,2022,4,744211,56491,137253267.66612908
andaman-&-nicobar-islands,2022,4,744107,54192,104539818.47127225
andaman-&-nicobar-islands,2022,4,744112,46364,82461782.47749998
andaman-&-nicobar-islands,2022,4,744202,34689,94217164.85909571
andaman-&-nicobar-islands,2022,4,744301,33669,82466591.07632071
andaman-&-nicobar-islands,2023,1,744103,503053,969594706.0
andaman-&-nicobar-islands,2023,1,744105,418090,774570559.0
andaman-&-nicobar-islands,2023,1,744101,403456,749508057.0
andaman-&-nicobar-islands,2023,1,744102,222855,427240840.0
andaman-&-nicobar-islands,2023,1,744104,118286,201531285.0
andaman-&-nicobar-islands,2023,1,744211,107424,263885620.0
andaman-&-nicobar-islands,2023,1,744107,92715,168098531.0
andaman-&-nicobar-islands,2023,1,744112,76246,131598911.0
andaman-&-nicobar-islands,2023,1,744202,59440,165959850.0
andaman-&-nicobar-islands,2023,1,744301,55605,111713635.0
andaman-&-nicobar-islands,2023,2,744103,597774,1119274409.0
andaman-&-nicobar-islands,2023,2,744105,507585,916209552.0
andaman-&-nicobar-islands,2023,2,744101,486154,824857096.0
andaman-&-nicobar-islands,2023,2,744102,269165,458977445.0
andaman-&-nicobar-islands,2023,2,744104,134785,205244167.0
andaman-&-nicobar-islands,2023,2,744107,114795,194986633.0
andaman-&-nicobar-islands,2023,2,744211,106510,222510323.0
andaman-&-nicobar-islands,2023,2,744112,89784,147571191.0
andaman-&-nicobar-islands,2023,2,744202,72315,211302035.0
andaman-&-nicobar-islands,2023,2,744301,63841,134197959.0
andaman-&-nicobar-islands,2023,3,744103,697625,1158992204.0
andaman-&-nicobar-islands,2023,3,744105,594280,962825309.0
andaman-&-nicobar-islands,2023,3,744101,561910,880223225.0
andaman-&-nicobar-islands,2023,3,744102,301979,500512890.0
andaman-&-nicobar-islands,2023,3,744104,144283,201467258.0
andaman-&-nicobar-islands,2023,3,744107,126430,192271794.0
andaman-&-nicobar-islands,2023,3,744211,122188,205773943.0
andaman-&-nicobar-islands,2023,3,744112,102093,142609621.0
andaman-&-nicobar-islands,2023,3,744202,81233,229651761.0
andaman-&-nicobar-islands,2023,3,744301,72307,142757567.0
andaman-&-nicobar-islands,2023,4,744103,817988,1376084403.0
