State,Year,Quarter,District,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2021,1,south andaman,207092,669604045.1248703
andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,75027255.27919498
andaman-&-nicobar-islands,2021,1,nicobars,10302,39075266.9856904
andaman-&-nicobar-islands,2021,2,south andaman,286907,760893020.5704947
andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,90233388.79463303
andaman-&-nicobar-islands,2021,2,nicobars,15307,48020606.74716838
andaman-&-nicobar-islands,2021,3,south andaman,382418,1116789010.6459613
andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,118254865.82750683
andaman-&-nicobar-islands,2021,3,nicobars,20754,74980519.32813609
andaman-&-nicobar-islands,2021,4,south andaman,558571,1694794708.0093331
andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,156486112.28732437
andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.0269996
andaman-&-nicobar-islands,2022,1,south andaman,705512,1872991195.902684
andaman-&-nicobar-islands,2022,1,north and middle andaman,60059,161624878.52274162
andaman-&-nicobar-islands,2022,1,nicobars,29177,94414127.64974089
andaman-&-nicobar-islands,2022,2,south andaman,954875,2357326563.362071
andaman-&-nicobar-islands,2022,2,north and middle andaman,72573,195693167.78757268
andaman-&-nicobar-islands,2022,2,nicobars,43769,132900618.93062323
andaman-&-nicobar-islands,2022,3,south andaman,1455255,2967719400.8499093
andaman-&-nicobar-islands,2022,3,north and middle andaman,79574,211581970.34202653
andaman-&-nicobar-islands,2022,3,nicobars,49550,131330400.94545083
andaman-&-nicobar-islands,2022,4,south andaman,1835592,3600887266.099448
andaman-&-nicobar-islands,2022,4,north and middle andaman,93297,241431284.35581034
andaman-&-nicobar-islands,2022,4,nicobars,58646,142355853.97352523
andaman-&-nicobar-islands,2023,1,south andaman,2030078,3867385426.0
andaman-&-nicobar-islands,2023,1,north and middle andaman,152187,392080332.0
andaman-&-nicobar-islands,2023,1,nicobars,94127,202062829.0
andaman-&-nicobar-islands,2023,2,south andaman,2417058,4297737197.0
andaman-&-nicobar-islands,2023,2,north and middle andaman,181149,462414675.0
andaman-&-nicobar-islands,2023,2,nicobars,109568,230192364.0
andaman-&-nicobar-islands,2023,3,south andaman,2771397,4462201588.0
andaman-&-nicobar-islands,2023,3,north and middle andaman,198547,495623030.0
andaman-&-nicobar-islands,2023,3,nicobars,128432,253772173.0
andaman-&-nicobar-islands,2023,4,south andaman,3311962,5417264997.0
andaman-&-nicobar-islands,2023,4,north and middle andaman,230234,540759631.0
andaman-&-nicobar-islands,2023,4,nicobars,153587,311527871.0
andhra-pradesh,2021,1,visakhapatnam,48248923,95308386037.84721
andhra-pradesh,2021,1,krishna,29717175,69715406644.53484
andhra-pradesh,2021,1,chittoor,29342609,60947491846.66088
andhra-pradesh,2021,1,guntur,27445045,64207987853.108406
andhra-pradesh,2021,1,east godavari,26190701,60027984987.96951
andhra-pradesh,2021,1,spsr nellore,22541428,52210333201.53073
andhra-pradesh,2021,1,anantapur,20102957,48353870395.01808
andhra-pradesh,2021,1,kurnool,17918524,44941629659.56964
andhra-pradesh,2021,1,west godavari,16015685,42124030669.36127
andhra-pradesh,2021,1,ysr,15374473,42570919448.50447
andhra-pradesh,2021,2,visakhapatnam,54390299,114439012713.35336
andhra-pradesh,2021,2,krishna,36370960,90021923049.96454
andhra-pradesh,2021,2,chittoor,34344902,73654690122.43158
andhra-pradesh,2021,2,guntur,32968819,82356914463.83287
andhra-pradesh,2021,2,east godavari,31717908,74604325863.66068
andhra-pradesh,2021,2,spsr nellore,30290406,72283071757.09679
andhra-pradesh,2021,2,anantapur,25123346,60987487571.27992
andhra-pradesh,2021,2,kurnool,21972396,56659287474.995804
andhra-pradesh,2021,2,west godavari,20950964,57233116236.18796
andhra-pradesh,2021,2,prakasam,19944047,54535328043.04135
andhra-pradesh,2021,3,visakhapatnam,69220981,136945652159.26517
andhra-pradesh,2021,3,krishna,44828275,104417897558.58972
andhra-pradesh,2021,3,chittoor,42628568,89371931753.04831
andhra-pradesh,2021,3,guntur,41675093,96525353090.12305
andhra-pradesh,2021,3,east godavari,39572714,89380370072.7078
andhra-pradesh,2021,3,spsr nellore,34411958,77839676988.30869
andhra-pradesh,2021,3,anantapur,30366444,70291248155.64975
andhra-pradesh,2021,3,kurnool,26377809,62527453761.59807
andhra-pradesh,2021,3,west godavari,26245039,66647238455.1675
andhra-pradesh,2021,3,prakasam,24116580,63367713446.928055
andhra-pradesh,2021,4,visakhapatnam,82711538,159530099772.73474
andhra-pradesh,2021,4,krishna,55489829,125015323207.89836
andhra-pradesh,2021,4,chittoor,51119640,103985734663.73514
andhra-pradesh,2021,4,guntur,50919286,115553993673.17336
andhra-pradesh,2021,4,east godavari,48992531,106725597026.00357
andhra-pradesh,2021,4,spsr nellore,41921081,92256405076.26547
andhra-pradesh,2021,4,anantapur,36129136,81239787006.64764
andhra-pradesh,2021,4,west godavari,33235175,81292461575.08183
andhra-pradesh,2021,4,kurnool,31782248,73968947669.64754
andhra-pradesh,2021,4,prakasam,27858275,71323060008.47623
andhra-pradesh,2022,1,visakhapatnam,88233362,170120350591.26004
andhra-pradesh,2022,1,krishna,61826199,139690081529.49048
andhra-pradesh,2022,1,chittoor,58561024,117900595508.63399
andhra-pradesh,2022,1,guntur,57226996,129673727687.08943
andhra-pradesh,2022,1,east godavari,54738830,121067103712.79568
andhra-pradesh,2022,1,spsr nellore,47645702,104895571602.13988
andhra-pradesh,2022,1,anantapur,40613148,90197023268.43825
andhra-pradesh,2022,1,west godavari,37271259,92397939903.60936
andhra-pradesh,2022,1,kurnool,35093633,81568420500.54747
andhra-pradesh,2022,1,prakasam,31340975,79494373254.71565
andhra-pradesh,2022,2,visakhapatnam,101387402,193242841582.14282
andhra-pradesh,2022,2,krishna,73525814,163997729295.93127
andhra-pradesh,2022,2,chittoor,67507661,136435445124.75615
andhra-pradesh,2022,2,guntur,66315749,147098141568.76227
andhra-pradesh,2022,2,east godavari,62072845,135531452997.6391
andhra-pradesh,2022,2,spsr nellore,54838708,121941082043.49483
andhra-pradesh,2022,2,anantapur,46099366,102138758015.76915
andhra-pradesh,2022,2,west godavari,44409239,107973244960.42824
andhra-pradesh,2022,2,kurnool,40165692,92409350855.502
andhra-pradesh,2022,2,prakasam,36163507,90435082545.97768
andhra-pradesh,2022,3,visakhapatnam,97434546,181124419863.61444
