State,Year,Quarter,District,Registered_users
andaman-&-nicobar-islands,2021,1,south andaman,48352
andaman-&-nicobar-islands,2021,1,north and middle andaman,7833
andaman-&-nicobar-islands,2021,1,nicobars,1573
andaman-&-nicobar-islands,2021,2,south andaman,51903
andaman-&-nicobar-islands,2021,2,north and middle andaman,8493
andaman-&-nicobar-islands,2021,2,nicobars,1699
andaman-&-nicobar-islands,2021,3,south andaman,55873
andaman-&-nicobar-islands,2021,3,north and middle andaman,9263
andaman-&-nicobar-islands,2021,3,nicobars,1846
andaman-&-nicobar-islands,2021,4,south andaman,59807
andaman-&-nicobar-islands,2021,4,north and middle andaman,10002
andaman-&-nicobar-islands,2021,4,nicobars,1971
andaman-&-nicobar-islands,2022,1,south andaman,63487
andaman-&-nicobar-islands,2022,1,north and middle andaman,10720
andaman-&-nicobar-islands,2022,1,nicobars,2081
andaman-&-nicobar-islands,2022,2,south andaman,66959
andaman-&-nicobar-islands,2022,2,north and middle andaman,11379
andaman-&-nicobar-islands,2022,2,nicobars,2192
andaman-&-nicobar-islands,2022,3,south andaman,70445
andaman-&-nicobar-islands,2022,3,north and middle andaman,11897
andaman-&-nicobar-islands,2022,3,nicobars,2300
andaman-&-nicobar-islands,2022,4,south andaman,73692
andaman-&-nicobar-islands,2022,4,north and middle andaman,12361
andaman-&-nicobar-islands,2022,4,nicobars,2389
andaman-&-nicobar-islands,2023,1,south andaman,77052
andaman-&-nicobar-islands,2023,1,north and middle andaman,12941
andaman-&-nicobar-islands,2023,1,nicobars,2491
andaman-&-nicobar-islands,2023,2,south andaman,80112
andaman-&-nicobar-islands,2023,2,north and middle andaman,13600
andaman-&-nicobar-islands,2023,2,nicobars,2617
andaman-&-nicobar-islands,2023,3,south andaman,83305
andaman-&-nicobar-islands,2023,3,north and middle andaman,14216
andaman-&-nicobar-islands,2023,3,nicobars,2734
andaman-&-nicobar-islands,2023,4,south andaman,86348
andaman-&-nicobar-islands,2023,4,north and middle andaman,14813
andaman-&-nicobar-islands,2023,4,nicobars,2817
andhra-pradesh,2021,1,visakhapatnam,2368081
andhra-pradesh,2021,1,east godavari,1878769
andhra-pradesh,2021,1,krishna,1876458
andhra-pradesh,2021,1,guntur,1843237
andhra-pradesh,2021,1,chittoor,1751420
andhra-pradesh,2021,1,anantapur,1394849
andhra-pradesh,2021,1,kurnool,1323411
andhra-pradesh,2021,1,west godavari,1254117
andhra-pradesh,2021,1,spsr nellore,1100541
andhra-pradesh,2021,1,prakasam,1075936
andhra-pradesh,2021,2,visakhapatnam,2526830
andhra-pradesh,2021,2,east godavari,2006272
andhra-pradesh,2021,2,krishna,2002662
