State,Year,Quarter,Pincode,Registered_users
andaman-&-nicobar-islands,2021,1,744103,11416
andaman-&-nicobar-islands,2021,1,744105,9934
andaman-&-nicobar-islands,2021,1,744101,9457
andaman-&-nicobar-islands,2021,1,744102,6395
andaman-&-nicobar-islands,2021,1,744202,3005
andaman-&-nicobar-islands,2021,1,744107,2586
andaman-&-nicobar-islands,2021,1,744104,2383
andaman-&-nicobar-islands,2021,1,744112,1940
andaman-&-nicobar-islands,2021,1,744211,1774
andaman-&-nicobar-islands,2021,1,744205,1505
andaman-&-nicobar-islands,2021,2,744103,12268
andaman-&-nicobar-islands,2021,2,744105,10668
andaman-&-nicobar-islands,2021,2,744101,10120
andaman-&-nicobar-islands,2021,2,744102,6837
andaman-&-nicobar-islands,2021,2,744202,3261
andaman-&-nicobar-islands,2021,2,744107,2783
andaman-&-nicobar-islands,2021,2,744104,2573
andaman-&-nicobar-islands,2021,2,744112,2083
andaman-&-nicobar-islands,2021,2,744211,1904
andaman-&-nicobar-islands,2021,2,744205,1626
andaman-&-nicobar-islands,2021,3,744103,13198
andaman-&-nicobar-islands,2021,3,744105,11480
andaman-&-nicobar-islands,2021,3,744101,10866
andaman-&-nicobar-islands,2021,3,744102,7313
andaman-&-nicobar-islands,2021,3,744202,3543
andaman-&-nicobar-islands,2021,3,744107,3027
andaman-&-nicobar-islands,2021,3,744104,2777
andaman-&-nicobar-islands,2021,3,744112,2250
andaman-&-nicobar-islands,2021,3,744211,2055
andaman-&-nicobar-islands,2021,3,744205,1771
andaman-&-nicobar-islands,2021,4,744103,14127
andaman-&-nicobar-islands,2021,4,744105,12300
andaman-&-nicobar-islands,2021,4,744101,11623
andaman-&-nicobar-islands,2021,4,744102,7813
andaman-&-nicobar-islands,2021,4,744202,3815
andaman-&-nicobar-islands,2021,4,744107,3247
andaman-&-nicobar-islands,2021,4,744104,2962
andaman-&-nicobar-islands,2021,4,744112,2411
andaman-&-nicobar-islands,2021,4,744211,2200
andaman-&-nicobar-islands,2021,4,744205,1902
andaman-&-nicobar-islands,2022,1,744103,15011
andaman-&-nicobar-islands,2022,1,744105,13070
andaman-&-nicobar-islands,2022,1,744101,12300
andaman-&-nicobar-islands,2022,1,744102,8271
andaman-&-nicobar-islands,2022,1,744202,4107
andaman-&-nicobar-islands,2022,1,744107,3455
andaman-&-nicobar-islands,2022,1,744104,3146
andaman-&-nicobar-islands,2022,1,744112,2552
andaman-&-nicobar-islands,2022,1,744211,2344
andaman-&-nicobar-islands,2022,1,744205,2034
andaman-&-nicobar-islands,2022,2,744103,15799
andaman-&-nicobar-islands,2022,2,744105,13791
andaman-&-nicobar-islands,2022,2,744101,12947
andaman-&-nicobar-islands,2022,2,744102,8709
andaman-&-nicobar-islands,2022,2,744202,4361
andaman-&-nicobar-islands,2022,2,744107,3674
andaman-&-nicobar-islands,2022,2,744104,3319
andaman-&-nicobar-islands,2022,2,744112,2700
andaman-&-nicobar-islands,2022,2,744211,2471
andaman-&-nicobar-islands,2022,2,744205,2162
andaman-&-nicobar-islands,2022,3,744103,16666
andaman-&-nicobar-islands,2022,3,744105,14503
andaman-&-nicobar-islands,2022,3,744101,13649
andaman-&-nicobar-islands,2022,3,744102,9148
andaman-&-nicobar-islands,2022,3,744202,4572
andaman-&-nicobar-islands,2022,3,744107,3868
andaman-&-nicobar-islands,2022,3,744104,3493
andaman-&-nicobar-islands,2022,3,744112,2837
andaman-&-nicobar-islands,2022,3,744211,2577
andaman-&-nicobar-islands,2022,3,744205,2268
andaman-&-nicobar-islands,2022,4,744103,17406
andaman-&-nicobar-islands,2022,4,744105,15185
andaman-&-nicobar-islands,2022,4,744101,14337
andaman-&-nicobar-islands,2022,4,744102,9591
andaman-&-nicobar-islands,2022,4,744202,4760
andaman-&-nicobar-islands,2022,4,744107,4051
andaman-&-nicobar-islands,2022,4,744104,3647
andaman-&-nicobar-islands,2022,4,744112,2975
andaman-&-nicobar-islands,2022,4,744211,2679
andaman-&-nicobar-islands,2022,4,744205,2358
andaman-&-nicobar-islands,2023,1,744103,18209
andaman-&-nicobar-islands,2023,1,744105,15848
andaman-&-nicobar-islands,2023,1,744101,15006
andaman-&-nicobar-islands,2023,1,744102,10033
andaman-&-nicobar-islands,2023,1,744202,4993
andaman-&-nicobar-islands,2023,1,744107,4239
andaman-&-nicobar-islands,2023,1,744104,3795
andaman-&-nicobar-islands,2023,1,744112,3141
andaman-&-nicobar-islands,2023,1,744211,2792
andaman-&-nicobar-islands,2023,1,744205,2480
andaman-&-nicobar-islands,2023,2,744103,18944
andaman-&-nicobar-islands,2023,2,744105,16488
andaman-&-nicobar-islands,2023,2,744101,15562
andaman-&-nicobar-islands,2023,2,744102,10387
andaman-&-nicobar-islands,2023,2,744202,5239
andaman-&-nicobar-islands,2023,2,744107,4425
andaman-&-nicobar-islands,2023,2,744104,3937
andaman-&-nicobar-islands,2023,2,744112,3261
andaman-&-nicobar-islands,2023,2,744211,2917
andaman-&-nicobar-islands,2023,2,744205,2605
andaman-&-nicobar-islands,2023,3,744103,19673
andaman-&-nicobar-islands,2023,3,744105,17171
andaman-&-nicobar-islands,2023,3,744101,16188
andaman-&-nicobar-islands,2023,3,744102,10799
andaman-&-nicobar-islands,2023,3,744202,5480
andaman-&-nicobar-islands,2023,3,744107,4591
andaman-&-nicobar-islands,2023,3,744104,4082
andaman-&-nicobar-islands,2023,3,744112,3382
andaman-&-nicobar-islands,2023,3,744211,3033
andaman-&-nicobar-islands,2023,3,744205,2716
andaman-&-nicobar-islands,2023,4,744103,20431
andaman-&-nicobar-islands,2023,4,744105,17824
andaman-&-nicobar-islands,2023,4,744101,16772
andaman-&-nicobar-islands,2023,4,744102,11155
andaman-&-nicobar-islands,2023,4,744202,5700
andaman-&-nicobar-islands,2023,4,744107,4759
andaman-&-nicobar-islands,2023,4,744104,4224
andaman-&-nicobar-islands,2023,4,744112,3496
andaman-&-nicobar-islands,2023,4,744211,3141
andaman-&-nicobar-islands,2023,4,744205,2822
andhra-pradesh,2021,1,517501,190712
andhra-pradesh,2021,1,517507,171417
andhra-pradesh,2021,1,515001,147941
andhra-pradesh,2021,1,530016,145206
andhra-pradesh,2021,1,518002,140153
andhra-pradesh,2021,1,516001,139840
andhra-pradesh,2021,1,516360,126260
andhra-pradesh,2021,1,524002,118730
andhra-pradesh,2021,1,530026,113581
andhra-pradesh,2021,1,520010,112324
andhra-pradesh,2021,2,517501,203005
andhra-pradesh,2021,2,517507,182425
andhra-pradesh,2021,2,515001,157649
andhra-pradesh,2021,2,530016,154509
andhra-pradesh,2021,2,518002,149368
andhra-pradesh,2021,2,516001,148851
andhra-pradesh,2021,2,516360,134622
andhra-pradesh,2021,2,524002,126459
andhra-pradesh,2021,2,530026,120973
andhra-pradesh,2021,2,520010,119561
andhra-pradesh,2021,3,517501,216777
andhra-pradesh,2021,3,517507,194860
andhra-pradesh,2021,3,515001,168654
andhra-pradesh,2021,3,530016,164812
andhra-pradesh,2021,3,518002,159802
andhra-pradesh,2021,3,516001,158891
andhra-pradesh,2021,3,516360,144068
andhra-pradesh,2021,3,524002,135136
andhra-pradesh,2021,3,530026,129270
andhra-pradesh,2021,3,520010,127618
andhra-pradesh,2021,4,517501,230688
andhra-pradesh,2021,4,517507,207174
andhra-pradesh,2021,4,515001,179763
andhra-pradesh,2021,4,530016,175300
andhra-pradesh,2021,4,518002,170267
andhra-pradesh,2021,4,516001,169158
andhra-pradesh,2021,4,516360,153381
andhra-pradesh,2021,4,524002,143764
andhra-pradesh,2021,4,530026,137812
andhra-pradesh,2021,4,520010,135719
andhra-pradesh,2022,1,517501,243791
andhra-pradesh,2022,1,517507,218905
andhra-pradesh,2022,1,515001,190203
andhra-pradesh,2022,1,530016,185094
andhra-pradesh,2022,1,518002,180102
andhra-pradesh,2022,1,516001,179007
andhra-pradesh,2022,1,516360,162263
andhra-pradesh,2022,1,524002,151939
andhra-pradesh,2022,1,530026,145842
andhra-pradesh,2022,1,520010,143308
andhra-pradesh,2022,2,517501,256290
andhra-pradesh,2022,2,517507,229983
andhra-pradesh,2022,2,515001,200266
andhra-pradesh,2022,2,530016,194513
andhra-pradesh,2022,2,518002,189505
andhra-pradesh,2022,2,516001,188295
andhra-pradesh,2022,2,516360,170855
andhra-pradesh,2022,2,524002,159834
andhra-pradesh,2022,2,530026,153586
andhra-pradesh,2022,2,520010,150546
andhra-pradesh,2022,3,517501,269370
andhra-pradesh,2022,3,517507,241720
andhra-pradesh,2022,3,515001,210661
andhra-pradesh,2022,3,530016,204230
andhra-pradesh,2022,3,518002,199354
andhra-pradesh,2022,3,516001,197910
andhra-pradesh,2022,3,516360,179806
andhra-pradesh,2022,3,524002,168015
andhra-pradesh,2022,3,530026,161715
andhra-pradesh,2022,3,520010,158071
andhra-pradesh,2022,4,517501,282766
andhra-pradesh,2022,4,517507,253314
andhra-pradesh,2022,4,515001,221328
andhra-pradesh,2022,4,530016,214155
andhra-pradesh,2022,4,518002,209376
andhra-pradesh,2022,4,516001,207725
andhra-pradesh,2022,4,516360,188768
andhra-pradesh,2022,4,524002,176415
andhra-pradesh,2022,4,530026,169957
andhra-pradesh,2022,4,520010,165734
andhra-pradesh,2023,1,517501,295420
andhra-pradesh,2023,1,517507,264456
andhra-pradesh,2023,1,515001,231542
andhra-pradesh,2023,1,530016,223726
andhra-pradesh,2023,1,518002,219100
andhra-pradesh,2023,1,516001,217104
andhra-pradesh,2023,1,516360,197437
andhra-pradesh,2023,1,524002,184419
andhra-pradesh,2023,1,530026,177985
andhra-pradesh,2023,1,520010,173156
andhra-pradesh,2023,2,517501,306201
andhra-pradesh,2023,2,517507,273955
andhra-pradesh,2023,2,515001,240176
andhra-pradesh,2023,2,530016,231775
andhra-pradesh,2023,2,518002,227292
andhra-pradesh,2023,2,516001,225126
andhra-pradesh,2023,2,516360,204900
andhra-pradesh,2023,2,524002,191332
andhra-pradesh,2023,2,530026,184561
andhra-pradesh,2023,2,520001,179439
andhra-pradesh,2023,3,517501,317981
andhra-pradesh,2023,3,517507,284487
andhra-pradesh,2023,3,515001,249655
andhra-pradesh,2023,3,530016,240480
andhra-pradesh,2023,3,518002,236199
andhra-pradesh,2023,3,516001,233874
andhra-pradesh,2023,3,516360,213165
andhra-pradesh,2023,3,524002,198528
andhra-pradesh,2023,3,530026,192066
andhra-pradesh,2023,3,520001,186511
andhra-pradesh,2023,4,517501,328762
andhra-pradesh,2023,4,517507,293894
andhra-pradesh,2023,4,515001,258235
andhra-pradesh,2023,4,530016,248401
andhra-pradesh,2023,4,518002,244371
andhra-pradesh,2023,4,516001,242054
andhra-pradesh,2023,4,516360,220919
andhra-pradesh,2023,4,524002,205559
andhra-pradesh,2023,4,530026,198977
andhra-pradesh,2023,4,520001,192934
arunachal-pradesh,2021,1,791110,26578
arunachal-pradesh,2021,1,791111,23660
arunachal-pradesh,2021,1,791113,16942
arunachal-pradesh,2021,1,791102,16191
arunachal-pradesh,2021,1,791001,12442
arunachal-pradesh,2021,1,792103,11916
arunachal-pradesh,2021,1,792001,9875
arunachal-pradesh,2021,1,790104,9066
arunachal-pradesh,2021,1,792110,8458
arunachal-pradesh,2021,1,791109,7917
arunachal-pradesh,2021,2,791110,28553
arunachal-pradesh,2021,2,791111,25349
arunachal-pradesh,2021,2,791113,18141
arunachal-pradesh,2021,2,791102,17388
arunachal-pradesh,2021,2,791001,13401
arunachal-pradesh,2021,2,792103,12890
arunachal-pradesh,2021,2,792001,10617
arunachal-pradesh,2021,2,790104,9711
arunachal-pradesh,2021,2,792110,9156
arunachal-pradesh,2021,2,791109,8470
arunachal-pradesh,2021,3,791110,30734
arunachal-pradesh,2021,3,791111,27265
arunachal-pradesh,2021,3,791113,19520
arunachal-pradesh,2021,3,791102,18855
arunachal-pradesh,2021,3,791001,14519
arunachal-pradesh,2021,3,792103,14068
arunachal-pradesh,2021,3,792001,11487
arunachal-pradesh,2021,3,790104,10467
arunachal-pradesh,2021,3,792110,9990
arunachal-pradesh,2021,3,791109,9111
arunachal-pradesh,2021,4,791110,32931
arunachal-pradesh,2021,4,791111,29128
arunachal-pradesh,2021,4,791113,20914
arunachal-pradesh,2021,4,791102,20261
arunachal-pradesh,2021,4,791001,15589
arunachal-pradesh,2021,4,792103,15154
arunachal-pradesh,2021,4,792001,12358
arunachal-pradesh,2021,4,790104,11211
arunachal-pradesh,2021,4,792110,10752
arunachal-pradesh,2021,4,791109,9729
arunachal-pradesh,2022,1,791110,34915
arunachal-pradesh,2022,1,791111,30912
arunachal-pradesh,2022,1,791113,22258
arunachal-pradesh,2022,1,791102,21601
arunachal-pradesh,2022,1,791001,16600
arunachal-pradesh,2022,1,792103,16282
arunachal-pradesh,2022,1,792001,13172
arunachal-pradesh,2022,1,790104,11905
arunachal-pradesh,2022,1,792110,11479
arunachal-pradesh,2022,1,791109,10306
arunachal-pradesh,2022,2,791110,36914
arunachal-pradesh,2022,2,791111,32620
arunachal-pradesh,2022,2,791113,23506
arunachal-pradesh,2022,2,791102,22850
arunachal-pradesh,2022,2,791001,17531
arunachal-pradesh,2022,2,792103,17259
